Data Source,Health Nutrition and Population Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,9/25/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montenegro,MNE,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,30.7,,,,,,,,31.1,,29.7,,,,,
Mongolia,MNG,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,25.7,,,,,,,,,,26.2,,,,,,,,
Northern Mariana Islands,MNP,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,MOZ,"Age at first marriage, male",SP.DYN.SMAM.MA,22.9,,,22.8,,,,,,,,,,23.3,,22.8,,22.9,,,,,,,
Mauritania,MRT,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,28.3,29.4,,,,,,,,,,,,,,,,,
Mauritius,MUS,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,28.5,,,,,,,,,,,29.2,,,,,,,
Malawi,MWI,"Age at first marriage, male",SP.DYN.SMAM.MA,,,26.4,,23.4,,23.5,,,,23.6,,,,23.9,,23.9,,,,24.6,,,,
Malaysia,MYS,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,28.6,,,,,,,,,,28,,,,,,,,
North America,NAC,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,NAM,"Age at first marriage, male",SP.DYN.SMAM.MA,27.8,,,,,,30.1,32.2,,,,,30.2,,,,,32.8,,32.2,,,,,
New Caledonia,NCL,"Age at first marriage, male",SP.DYN.SMAM.MA,,,32.5,,,,,,,,33.7,,,,,,,,,,,,,,
Niger,NER,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,23.9,,24.8,24.4,,,,,25.1,,,,,,25,,,,,,
Nigeria,NGA,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,28,,,28.6,,28.5,,,,,28.6,,,,,
Nicaragua,NIC,"Age at first marriage, male",SP.DYN.SMAM.MA,,23.7,,,22.6,22.6,,25.1,,,,24.4,,,,,,,,,,,,,
Netherlands,NLD,"Age at first marriage, male",SP.DYN.SMAM.MA,,30.8,31.2,31.5,31.9,,,32.3,,32.5,,33,33.2,33.4,33.6,33.7,33.8,28.7,,,,,,,
Norway,NOR,"Age at first marriage, male",SP.DYN.SMAM.MA,,,32.5,32.8,33,33.3,33.7,29.4,33.8,,33.9,34,34,34,34,33.9,33.9,29.1,33.8,,33.8,,,,
Nepal,NPL,"Age at first marriage, male",SP.DYN.SMAM.MA,,,22,,,,,23,,,,,22.4,,,,,23.8,,,,,,,
Nauru,NRU,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,NZL,"Age at first marriage, male",SP.DYN.SMAM.MA,,,27.2,,,,,31.7,,,,,32,,,,,,,,,,,,
OECD members,OED,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,,,,,,,,,,,,,,,
Oman,OMN,"Age at first marriage, male",SP.DYN.SMAM.MA,,25.9,,,,,,,,28.1,,,,,,,27.7,,,,,,,,
Other small states,OSS,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,PAK,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,25.6,25.8,,,27.1,,26.4,,26.4,,26.9,,,,,,,,,,,
Panama,PAN,"Age at first marriage, male",SP.DYN.SMAM.MA,,,,,,,25.8,,,,,,,,,,25.3,,,,,,,,
Peru,PER,"Age at first marriage, male",SP.DYN.SMAM.MA,,,26.5,,,,,,,,,28.2,,26.6,28.2,27.5,27.8,28,27.5,,,,,,
Philippines,PHL,"Age at first marriage, male",SP.DYN.SMAM.MA,,26.6,,,,27,,,,26.1,,,,27,,,26.9,,,,,,,,
